AoA,M0.6_CN-ALPHA,M1.0_CN-ALPHA,M1.5_CN-ALPHA,M2.3_CN-ALPHA,M4.63_CN-ALPHA
10.100000000000001,0.6205929373780836,0.7789677986753176,0.7815133157128392,1.0084624425696869,1.5528767662995535
10.2,0.6336885080416724,0.7898816522124077,0.7954446608104315,1.029261500459849,1.5741487677818913
10.3,0.6468976084153393,0.8008512807308694,0.8095053490027858,1.0503203571008832,1.595480524678789
10.400000000000002,0.6602165918552685,0.8118799606724687,0.8236950664058909,1.0716349040281645,1.6168735370192022
10.5,0.673641811717644,0.8229709684789712,0.8380134991357352,1.0932010327770678,1.638329304832087
10.600000000000001,0.6871696213586513,0.8341275805921441,0.8524603333083093,1.1150146348829706,1.659849328146401
10.7,0.7007963741344738,0.8453530734537528,0.867035255039601,1.1370716018812463,1.6814351069910989
10.8,0.7145184234012975,0.8566507235055639,0.8817379504456009,1.1593678253072728,1.7030881413951389
10.900000000000002,0.7283321225153057,0.8680238071893437,0.8965681056422975,1.181899196696425,1.7248099313874754
11.0,0.7422338248326829,0.8794756009468577,0.9115254067456795,1.2046616075840775,1.7466019769970655
11.100000000000001,0.7562198837096145,0.8910093812198732,0.9266095398717372,1.2276509495056078,1.7684657782528663
11.200000000000003,0.7702866525022842,0.9026284244501556,0.9418201911364593,1.2508631139963902,1.7904028351838335
11.3,0.7844304845668767,0.9143360070794709,0.9571570466558345,1.2742939925918002,1.8124146478189227
11.400000000000002,0.7986477332595768,0.926135405549586,0.9726197925458528,1.2979394768272146,1.8345027161870917
11.5,0.8129347519365683,0.9380298963022664,0.9882081149225027,1.321795458238008,1.8566685403172953
11.600000000000001,0.8272878939540369,0.9500227557792792,1.0039216999017742,1.3458578283595577,1.8789136202384913
11.700000000000003,0.8417035126681666,0.96211726042239,1.0197602335996563,1.3701224787272377,1.9012394559796357
11.8,0.856177961435141,0.9743166866733645,1.035723402132137,1.3945853008764237,1.9236475475696837
11.900000000000002,0.8707075936111459,0.9866243109739701,1.0518108916152076,1.4192421863424927,1.9461393950375931
12.0,0.8852887625523649,0.9990434097659717,1.0680223881648554,1.4440890266608184,1.9687164984123189
12.100000000000001,0.8999178216149832,1.0115772594911367,1.0843575778970709,1.4691217133667789,1.9913803577228186
12.200000000000003,0.9145911241551854,1.0242291365912306,1.100816146927843,1.4943361379957485,2.0141326810255045
12.3,0.9293050235291547,1.0370023175080194,1.1173977813731604,1.519728192083102,2.0369780476336596
12.400000000000002,0.9440559024343173,1.0499000786832702,1.1341021673490128,1.545293767164217,2.0599231298336513
12.5,0.9588421486886719,1.062925452066671,1.1509290039411726,1.5710287547744675,2.0829746473886175
12.600000000000001,0.9736654075312217,1.0760796003120496,1.167879935581789,1.5969290464492305,2.1061393200616996
12.700000000000003,0.9885276226394135,1.0893628232154156,1.1849606061618199,1.6229906542524768,2.1294238676160364
12.8,1.0034307376906946,1.1027754159364855,1.2021771515557564,1.6492168219638947,2.1528350098147664
12.900000000000002,1.0183766963625145,1.1163176736349776,1.2195357076380922,1.675622002522541,2.1763794664210305
13.0,1.0333674423323194,1.1299898914706072,1.237042410283318,1.7022216130962302,2.200063957197967
13.100000000000001,1.0484049192775582,1.1437923646030927,1.2547033953659275,1.7290310708527814,2.223895201908717
13.200000000000003,1.0634910708756784,1.1577253881921505,1.2725247987604118,1.7560657929600105,2.2478799203164193
13.3,1.0786278408041277,1.1717892573974968,1.2905127563412622,1.783341196585734,2.272024832184212
13.400000000000002,1.093817172740354,1.1859842673788497,1.3086734039829728,1.8108726988977697,2.296336657275237
13.5,1.1090610103618048,1.200310713295925,1.3270128775600338,1.8386757170639334,2.320822115352633
13.600000000000001,1.124361297345929,1.2147688903084408,1.345537312946939,1.8667656682520435,2.3454879261795387
13.700000000000003,1.1397199773701736,1.2293590935761134,1.36425284601818,1.8951579696299161,2.370340809519095
13.8,1.1551389941119858,1.2440816182586594,1.3831656126482479,1.923868038365367,2.395387485134439
13.900000000000002,1.1706202912488153,1.2589367595157963,1.4022817487116361,1.9529112916262152,2.420634672788714
14.0,1.1861658124581078,1.2739248125072402,1.4216073900828359,1.9823031465802756,2.4460890922450553
14.100000000000001,1.2017775014173129,1.289046072392709,1.4411486726363403,2.0120590203953674,2.4717574059787246
14.200000000000003,1.2174573018038777,1.3043008343319193,1.4609117322466407,2.0421943302393064,2.4976421935442894
14.3,1.2332071572952494,1.3196893934845875,1.480902704788229,2.0727244932799076,2.523739303838185
14.400000000000002,1.2490290115688771,1.3352120450104314,1.5011277261355984,2.1036649266849907,2.550043957083248
14.5,1.2649248083022073,1.3508690840691668,1.5215929321632395,2.135031047622371,2.576551373502314
14.600000000000001,1.2808964911726892,1.3666608058205119,1.542304458745646,2.166838273259867,2.6032567733182193
14.700000000000003,1.29694600385777,1.3825875054241832,1.563268449701216,2.199102020765294,2.6301553767538013
14.8,1.3130752900348972,1.3986494780398964,1.5844925187354306,2.2318377073064686,2.657242404031895
14.900000000000002,1.3292862933815193,1.4148470188273703,1.6059874596306176,2.2650595784885015,2.6845130753753375
15.0,1.345580957575083,1.43118042294632,1.627764481453825,2.298768260500008,2.7119626110069635
15.100000000000001,1.3619612262930378,1.4476499855564644,1.6498347932721045,2.3329555928092933,2.7395862311496106
15.200000000000003,1.3784290432128303,1.464256001817519,1.6722096041525047,2.3676132684393214,2.7673791560261156
15.3,1.3949863520119083,1.4809987668892006,1.694900123162075,2.402732980413055,2.7953366058593123
15.400000000000002,1.4116350963677207,1.4978785759312274,1.7179175593678668,2.43830642175346,2.82345380087204
15.5,1.4283772199577138,1.5148957241033145,1.741273121836928,2.4743252854834994,2.8517259612871313
15.600000000000001,1.4452146664593373,1.5320505065651808,1.7649780196363103,2.5107812646261385,2.880148307327426
15.700000000000003,1.4621493795500378,1.5493432184765423,1.789043461833063,2.5476660522043417,2.9087160592157586
