AoA,M1.5_CA-ALPHA,M1.0_CA-ALPHA,M4.63_CA-ALPHA,M3.96_CA-ALPHA,M0.95_CA-ALPHA,M2.96_CA-ALPHA,M0.6_CA-ALPHA,M2.3_CA-ALPHA,M0.8_CA-ALPHA,M1.2_CA-ALPHA,M1.8_CA-ALPHA,M0.9_CA-ALPHA
2.4000000000000004,0.36793684031647444,0.390745173624745,0.17470418910458924,0.1972553979260966,0.28786764470462745,0.2569674891963416,0.20530106999367506,0.3109783101328311,0.20838449332566752,0.47199209463213454,0.35567066467911096,0.24129627078771226
2.5,0.3684419411223225,0.39196484791327146,0.17525662020916621,0.19767575463786888,0.28888556629795764,0.25732145946302865,0.20622857161789798,0.31130960244709616,0.20956780537498923,0.4728276241172684,0.3562688863013939,0.24227730725295002
2.6000000000000014,0.3689835366236134,0.39329151485595787,0.17581273213335274,0.1981082100126776,0.2899665324978808,0.257684852422793,0.20718803786695378,0.3116239206796093,0.21078963840911022,0.4736930401221429,0.35687640130206183,0.24329342630329884
2.700000000000001,0.36955781551489797,0.3947126293976638,0.1763698304343451,0.1985524593681282,0.2911042473026386,0.2580570804878693,0.20817673809871506,0.31192487157213505,0.21204465025801084,0.4745858360565678,0.3574922182326716,0.24434182506529883
2.8000000000000007,0.3701609664907271,0.3962156464832488,0.1769252206693394,0.19900819802182607,0.2922924147104724,0.25843755607049235,0.20919194167105445,0.31221606186643797,0.21332749875167148,0.4755035053303533,0.3581153456447805,0.24541970066549015
2.9000000000000004,0.37078917824565183,0.39778802105757277,0.17747620839553205,0.1994751212913766,0.2935247387196238,0.2588256915828969,0.21023091794184454,0.3125010983042825,0.2146328417200726,0.4764435413533094,0.3587447920899457,0.24652425023041297
3.0,0.37143863947422295,0.3994172080654951,0.17802009917011916,0.19995292449438531,0.29479492332833446,0.25922089943731774,0.21129093626895798,0.31278358762743314,0.21595533699319458,0.4774034375352461,0.35937956611972416,0.2476526708866074
3.1000000000000014,0.37210553887099146,0.40109066245187563,0.178554198550297,0.20044130294845755,0.29609667253484584,0.2596225920459896,0.21236926601026737,0.31306713657765445,0.2172896424010179,0.47838068728597355,0.3600186762856732,0.24880215976061362
3.200000000000001,0.3727860651305082,0.4027958391615739,0.17907581209326182,0.20093995197119877,0.29742369033739946,0.2600301818211472,0.2134631765236453,0.3133553518967108,0.21863041577352288,0.47937278401530176,0.3606611311393499,0.24996991397897175
3.3000000000000007,0.37347640694732404,0.4045201931394496,0.1795822453562098,0.20144856688021434,0.298769680734237,0.2604430811750253,0.21456993716696438,0.3136518403263668,0.21997231494068997,0.48037722113304065,0.3613059392323114,0.251153130668222
3.4000000000000004,0.3741727530159901,0.4062511793303623,0.18007080389633728,0.20196684299310974,0.3001283477235998,0.2608607025198587,0.21568681729809727,0.3139602086083868,0.22130999773249954,0.48139149204900034,0.36195210911611475,0.25234900695490436
3.5,0.37487129203105707,0.4079762526791718,0.18053879327084038,0.20249447562749034,0.3014933953037296,0.2612824582678822,0.21681108627491658,0.31428406348453547,0.22263812197893204,0.4824130901729909,0.3625986493423172,0.2535547399655592
