AoA,M2.3_Cm-ALPHA,M1.0_Cm-ALPHA,M1.5_Cm-ALPHA,M0.6_Cm-ALPHA,M4.63_Cm-ALPHA
10.600000000000001,5.5188695658889975,4.863758038805386,4.7042222911758405,4.937881718368245,5.483117298213026
10.7,5.604639821344405,4.926313589718895,4.764291120658893,4.9964818965973254,5.539269476837346
10.8,5.691084402353225,4.989361671059932,4.824785048702646,5.055364182014915,5.595477735626871
10.900000000000002,5.778187401598511,5.0528959371694615,4.885703345498711,5.114521091609367,5.651747370791771
11.0,5.865932911763314,5.116910042388455,4.947045281238697,5.173945142369042,5.708083678542214
11.100000000000001,5.954305025530693,5.181397641057883,5.008810126114223,5.233628851282302,5.7644919550883715
11.200000000000003,6.043287835583702,5.2463523875187175,5.070997150316899,5.293564735337504,5.820977496640414
11.3,6.132865434605392,5.311767936111923,5.133605624038335,5.353745311523006,5.877545599408507
11.400000000000002,6.223021915278825,5.377637941178476,5.196634817470149,5.414163096827172,5.934201559602828
11.5,6.3137413702870475,5.443956057059339,5.26008400080395,5.474810608238358,5.990950673433537
11.600000000000001,6.405007892313123,5.510715938095489,5.323952444231352,5.535680362744928,6.047798237110814
11.700000000000003,6.496805574040101,5.577911238627894,5.3882394179439705,5.596764877335237,6.104749546844822
11.8,6.589118508151036,5.645535612997519,5.452944192133413,5.658056668997644,6.161809898845731
11.900000000000002,6.681930787328986,5.713582715545342,5.518066036991298,5.7195482547205145,6.218984589323716
12.0,6.775226504257001,5.782046200612326,5.5836042227092335,5.7812321514922,6.276278914488942
12.100000000000001,6.868989751618141,5.850919722539447,5.649558019478836,5.843100876301068,6.33369817055158
12.200000000000003,6.963204622095461,5.920196935667671,5.715926697491718,5.905146946135473,6.391247653721801
12.3,7.0578552083720085,5.989871494337967,5.782709526939489,5.967362901105854,6.448932660209771
12.400000000000002,7.152925603130847,6.05993705289131,5.849905778013766,6.029742020185383,6.506758445549149
12.5,7.248399899055025,6.130387223580319,5.917514720906158,6.0922784586606005,6.564728282928873
12.600000000000001,7.344262188827602,6.201214316755409,5.985535694221573,6.1549664226813565,6.62284261089301
